바바, 193, 65
가마, 154, 67
자하, 183, 48
자다, 162, 88
마마, 180, 68
나가, 170, 97
아타, 170, 48
라하, 189, 69
파가, 168, 50
나가, 174, 89
나파, 153, 90
마마, 161, 43
타타, 144, 47
다아, 163, 96
가바, 140, 99
나가, 155, 42
타라, 152, 77
바차, 147, 93
파카, 175, 86
가자, 147, 50
하차, 167, 68
가바, 151, 80
라차, 163, 95
타차, 190, 40
카자, 193, 82
마사, 142, 51
라다, 175, 42
나자, 190, 62
다파, 180, 55
다가, 182, 84
타자, 172, 50
가나, 160, 49
사사, 196, 94
마다, 157, 50
라가, 199, 82
나나, 168, 52
타타, 162, 71
자나, 167, 48
나나, 170, 53
라아, 186, 74
사타, 186, 76
카아, 160, 72
차카, 184, 68
하파, 165, 78
라파, 161, 48
라하, 183, 59
타가, 162, 60
자카, 162, 89
하라, 165, 80
카아, 177, 66
카라, 162, 97
나파, 153, 88
다라, 198, 66
바사, 180, 44
다라, 150, 57
하사, 141, 52
라나, 157, 42
가자, 199, 77
라파, 167, 77
차바, 143, 64
사카, 173, 75
자하, 167, 96
차사, 147, 49
아타, 187, 62
사바, 145, 60
자나, 184, 51
자사, 196, 95
다아, 169, 44
파바, 180, 71
파자, 168, 51
바파, 146, 81
가자, 191, 46
파다, 198, 91
차라, 174, 71
나자, 177, 50
가바, 149, 88
타사, 160, 77
바타, 179, 75
하아, 179, 65
아파, 165, 82
바가, 186, 82
마하, 196, 57
아차, 142, 87
사다, 198, 93
라가, 146, 98
바자, 145, 72
나바, 165, 47
차차, 140, 97
다바, 143, 94
아마, 146, 55
차라, 195, 87
다하, 189, 82
차다, 156, 48
카자, 184, 63
나가, 196, 68
라차, 165, 90
파타, 191, 72
타아, 155, 70
라하, 158, 67
타파, 175, 70
마다, 192, 67
카나, 188, 82
라다, 149, 69
마라, 197, 60
타카, 168, 94
나다, 185, 85
파카, 161, 98
나마, 184, 95
아파, 176, 79
가하, 174, 52
아마, 155, 64
나사, 147, 81
타다, 186, 43
바나, 157, 99
타다, 145, 76
바라, 164, 50
바가, 159, 67
차사, 141, 57
바바, 183, 73
파차, 169, 44
카다, 192, 46
다카, 159, 65
타자, 153, 44
아라, 142, 46
라파, 191, 56
사하, 169, 99
아타, 172, 82
마파, 190, 83
라마, 161, 85
다자, 188, 83
차자, 162, 68
바타, 197, 59
나마, 186, 63
나아, 171, 69
다아, 198, 86
마파, 147, 70
자바, 193, 52
카카, 189, 44
마파, 186, 43
아파, 179, 88
가아, 171, 58
다바, 141, 42
마차, 142, 77
차라, 195, 71
바아, 153, 63
사아, 189, 94
파차, 197, 79
아하, 191, 67
사차, 170, 67
나나, 149, 62
라아, 179, 41
나카, 165, 44
카마, 149, 64
하다, 179, 93
다나, 161, 90
마마, 160, 53
하마, 144, 92
라라, 164, 93
아하, 150, 79
자마, 172, 41
나아, 152, 55
사아, 159, 41
자차, 183, 44
나나, 142, 81
가카, 151, 62
나자, 190, 58
바차, 183, 83
카사, 165, 99
바마, 156, 89
마파, 174, 41
다자, 142, 72
파마, 162, 50
가타, 170, 46
나마, 163, 60
라하, 198, 80
타마, 159, 75
나파, 143, 97
사바, 176, 42
마자, 167, 95
바바, 191, 93
다바, 181, 68
바다, 181, 80
사마, 152, 63
라바, 195, 69
가마, 187, 99
차라, 155, 86
차바, 198, 86
아나, 178, 96
사타, 170, 91
바자, 148, 85
다가, 195, 70
아파, 151, 57
아바, 179, 42
마사, 172, 82
라타, 168, 56
나바, 175, 49
가아, 191, 40
사하, 146, 98
아파, 192, 76
자하, 152, 49
파자, 183, 75
하다, 166, 97
아가, 157, 59
차카, 172, 90
바자, 148, 97
자파, 160, 64
다차, 151, 82
사자, 194, 96
파차, 154, 65
다가, 165, 57
타아, 161, 96
가타, 197, 53
차타, 182, 42
타하, 174, 59
가가, 199, 97
자카, 179, 88
파바, 179, 94
바아, 185, 88
타나, 194, 50
아라, 170, 96
라차, 163, 74
차하, 181, 58
카라, 169, 67
카자, 183, 73
가가, 164, 48
바바, 143, 94
바파, 161, 65
카파, 194, 51
아아, 170, 54
나가, 143, 89
카자, 181, 41
마하, 159, 42
타하, 183, 55
사사, 153, 86
바마, 165, 78
카타, 146, 75
자차, 143, 84
타마, 145, 79
바타, 140, 57
나나, 154, 58
나카, 144, 83
타타, 186, 98
마아, 155, 64
다아, 184, 74
자가, 148, 91
마다, 152, 54
가나, 155, 81
차라, 189, 64
다파, 173, 49
바아, 182, 67
나하, 147, 96
아차, 197, 76
타라, 168, 57
바카, 174, 99
파바, 151, 95
파가, 165, 57
카타, 163, 45
차라, 158, 71
타마, 194, 67
하라, 160, 67
나카, 143, 44
마차, 167, 67
자카, 155, 75
나아, 184, 51
하가, 199, 99
타아, 159, 95
자파, 171, 50
나아, 151, 80
나가, 190, 91
라마, 188, 46
다가, 190, 75
자다, 154, 76
사카, 156, 41
나하, 171, 91
라가, 188, 81
가카, 196, 98
나카, 179, 76
아가, 151, 82
차나, 156, 96
아바, 196, 99
차마, 171, 42
차카, 155, 60
마가, 185, 68
타라, 186, 99
라아, 183, 91
라바, 173, 99
바가, 176, 92
카하, 187, 40
다타, 172, 46
카하, 149, 83
라다, 160, 57
다카, 184, 68
바차, 147, 79
마카, 188, 91
카차, 165, 80
차가, 151, 43
다카, 141, 92
나라, 189, 48
아파, 147, 76
하파, 140, 56
나차, 193, 98
자파, 153, 64
하아, 174, 60
나카, 190, 77
아차, 165, 97
다아, 199, 77
하사, 184, 93
사자, 159, 48
아바, 156, 84
자자, 165, 80
마사, 179, 77
다나, 159, 72
